State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Buddhists,Christians,Hindus,Households_with_Telephone_Mobile_Phone_Both,Housholds_with_Electric_Lighting,Muslims,Others_Religions,Sikhs,literacy_rate,Male_literacy_rate,Female_literacy_rate,Male_ratio,Female_ratio
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,5512,25510,15422,2399901,13417,566108,275970,322,1377,54.11,57.73,42.27,49.96,50.04
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,8606,341,20463,3599372,22640,897970,443456,309,932,56.63,57.92,42.08,50.59,49.41
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,13763,253,24129,3737588,36237,944555,397870,358,867,63.92,55.65,44.35,50.08,49.92
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,22411,413,77825,4983330,52789,1297273,77777,403,738,63.8,52.21,47.79,49.86,50.14
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,19383,323,89763,4217597,53583,1186028,559770,332,764,60.57,55.22,44.78,49.93,50.07
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,149034,1268,87522,2046051,123728,869721,1713405,1929,11446,73.34,53.34,46.66,51.19,48.81
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,8831,332,24979,3491139,17534,926768,244723,115,2086,58.44,56.97,43.03,49.81,50.19
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,8628,217,33463,2595321,18744,668519,158887,539,655,58.28,55.31,44.69,49.72,50.28
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,30438,863,145598,4023678,69493,1163932,307043,906,1393,66.63,53.13,46.87,50.19,49.81
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,10081,255,33165,3328380,22698,816721,670737,434,737,52.48,58.59,41.41,50.31,49.69
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,6153,290,21345,3673456,18944,757821,334172,267,658,47.88,59.69,40.31,50.59,49.41
